# Порядок вычитки: сверху вниз. Первая порция — самые частые слова.
порция	язык	слов	первое	последнее	частота_первого	частота_последнего	с_подсказкой	файл
tt-003	татарская	200	тоттың	каплагыз	15	6	17	docs/review-batches/tt/tt-003.tsv
tt-004	татарская	200	карыйсызмы	гудспид	6	4	15	docs/review-batches/tt/tt-004.tsv
tt-005	татарская	200	гыйбадәтханәдән	елыйсыңмы	4	3	23	docs/review-batches/tt/tt-005.tsv
tt-006	татарская	200	зионны	ялгыштың	3	14	26	docs/review-batches/tt/tt-006.tsv
tt-007	татарская	200	калачакмын	координаталарны	13	7	10	docs/review-batches/tt/tt-007.tsv
tt-008	татарская	200	куачаклар	югалтсаң	7	6	18	docs/review-batches/tt/tt-008.tsv
tt-009	татарская	200	явамы	туктарсың	6	5	22	docs/review-batches/tt/tt-009.tsv
tt-010	татарская	200	тутыр	бәргәч	5	4	13	docs/review-batches/tt/tt-010.tsv
tt-011	татарская	200	бәрелсә	очкынлы	4	4	24	docs/review-batches/tt/tt-011.tsv
tt-012	татарская	200	очратканда	ягың	4	4	24	docs/review-batches/tt/tt-012.tsv
tt-013	татарская	200	язасызмы	боланны	4	3	15	docs/review-batches/tt/tt-013.tsv
tt-014	татарская	200	борсаң	кайгыртуың	3	3	32	docs/review-batches/tt/tt-014.tsv
tt-015	татарская	200	кайнаткычны	макдугал	3	3	21	docs/review-batches/tt/tt-015.tsv
tt-016	татарская	200	максатмы	субатом	3	3	48	docs/review-batches/tt/tt-016.tsv
tt-017	татарская	200	сугам	умартаны	3	3	7	docs/review-batches/tt/tt-017.tsv
tt-018	татарская	200	уналтышарлы	ясагансыз	3	3	27	docs/review-batches/tt/tt-018.tsv
tt-019	татарская	134	ясагансың	өянке	3	3	9	docs/review-batches/tt/tt-019.tsv
